move_id,name,pokedex_num
1,clefairy,35.0
1,clefable,36.0
1,jigglypuff,39.0
1,wigglytuff,40.0
1,poliwag,60.0
1,poliwhirl,61.0
1,poliwrath,62.0
1,grimer,88.0
1,muk,89.0
1,drowzee,96.0
1,hypno,97.0
1,chansey,113.0
1,kangaskhan,115.0
1,mr-mime,122.0
1,jynx,124.0
1,mew,151.0
1,cleffa,173.0
1,igglybuff,174.0
1,togepi,175.0
1,togetic,176.0
1,politoed,186.0
1,sunflora,192.0
1,smoochum,238.0
1,blissey,242.0
1,treecko,252.0
1,grovyle,253.0
1,sceptile,254.0
1,nuzleaf,274.0
1,shiftry,275.0
1,whismur,293.0
1,loudred,294.0
1,exploud,295.0
1,gulpin,316.0
1,swalot,317.0
1,piplup,393.0
1,buneary,427.0
1,lopunny,428.0
1,mime-jr,439.0
1,happiny,440.0
1,finneon,456.0
1,lumineon,457.0
1,togekiss,468.0
1,regigigas,486.0
1,audino,531.0
1,timburr,532.0
1,gurdurr,533.0
1,conkeldurr,534.0
1,trubbish,568.0
1,garbodor,569.0
1,minccino,572.0
1,cinccino,573.0
1,gothita,574.0
1,gothorita,575.0
1,gothitelle,576.0
1,alomomola,594.0
1,mienfoo,619.0
1,mienshao,620.0
1,golett,622.0
1,golurk,623.0
1,froakie,656.0
1,frogadier,657.0
1,greninja,658.0
1,helioptile,694.0
1,heliolisk,695.0
1,popplio,728.0
1,brionne,729.0
1,primarina,730.0
1,oricorio-baile,741.0
1,salazzle,758.0
1,nihilego,793.0
1,sobble,816.0
1,drizzile,817.0
1,inteleon,818.0
1,mr-rime,866.0
1,calyrex,898.0
2,mankey,56.0
2,primeape,57.0
2,machop,66.0
2,machoke,67.0
2,machamp,68.0
2,elekid,239.0
2,magby,240.0
2,sawk,539.0
2,pancham,674.0
2,pangoro,675.0
2,hawlucha,701.0
3,clefairy,35.0
3,clefable,36.0
3,jigglypuff,39.0
3,wigglytuff,40.0
3,poliwag,60.0
3,poliwhirl,61.0
3,poliwrath,62.0
3,chansey,113.0
3,mr-mime,122.0
3,jynx,124.0
3,pichu,172.0
3,politoed,186.0
3,aipom,190.0
3,blissey,242.0
3,skitty,300.0
3,delcatty,301.0
3,buizel,418.0
3,mime-jr,439.0
3,audino,531.0
3,trubbish,568.0
3,garbodor,569.0
3,minccino,572.0
3,gothita,574.0
3,gothorita,575.0
3,gothitelle,576.0
3,alomomola,594.0
3,mienfoo,619.0
3,mienshao,620.0
3,bunnelby,659.0
3,diggersby,660.0
3,popplio,728.0
3,brionne,729.0
3,primarina,730.0
